NA_L3CODE,BUPR2000,BUPR2005,BUPR2010,BUPR2015
10.1.2,76676,85781,94819,100216
10.1.3,3001,3329,3591,3667
10.1.4,22919,25656,29047,30308
10.1.5,86674,110721,130672,145925
10.1.8,63089,84314,98356,105809
6.2.10,102872,121850,136677,146862
6.2.13,22371,27700,32689,34683
6.2.15,10704,12711,14148,14679
6.2.3,110482,128889,143380,149855
6.2.4,3114,3572,3856,4062
6.2.9,16847,20663,22977,23935
9.3.1,27382,28814,30422,31834
9.3.3,61313,69707,78001,84224
10.1.6,40312,47286,53510,55665
10.1.7,56653,70239,81228,85037
10.2.4,16345,19025,22517,24067
12.1.1,26056,31628,36159,37626
13.1.1,82319,101100,111678,114778
6.2.14,124676,143089,154565,158776
9.4.1,118136,144604,159483,178095
9.4.3,63548,81027,91332,100184
10.2.1,91825,124637,162434,176911
10.2.2,188612,271781,326574,359161
11.1.1,709848,796176,842015,876055
11.1.2,150195,181489,205072,222147
11.1.3,65067,71633,74793,75674
6.2.11,51176,57449,61175,62739
6.2.12,91644,99852,105193,106757
7.1.8,97287,104188,110240,112347
6.2.7,24757,27268,29305,29860
6.2.8,28563,33137,35658,36838
7.1.7,293388,336642,371003,388399
7.1.9,126971,144777,156441,162334
6.2.5,13669,15388,17519,18346
