OID_,STUSPS,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90,BUPR_YEAR
1,ID,1,2968898.000000000000000,216432664200.000000000000000,0,282,282,0.053696017849043,1.070144568254048,159418.000000000000000,95,0,70,0,0,2010
2,NM,2,4319410.000000000000000,314884989000.000000000000000,0,242,242,0.027161116911804,0.758119102380376,117320.000000000000000,103,0,79,0,0,2010
3,CA,3,5808871.000000000000000,423466695900.000000000000000,0,7134,7134,0.235225054920303,5.594274911157910,1366392.000000000000000,219,0,112,0,0,2010
4,OR,4,3494360.000000000000000,254738844000.000000000000000,0,313,313,0.089742327636536,1.273298033527485,313592.000000000000000,126,0,75,0,0,2010
5,WA,5,2531472.000000000000000,184544308800.000000000000000,0,813,813,0.227133857297258,2.147646700012144,574983.000000000000000,153,0,89,0,0,2010
6,UT,6,3016251.000000000000000,219884697900.000000000000000,0,369,369,0.045425264674592,1.146742016528540,137014.000000000000000,119,0,68,0,0,2010
7,CO,7,3697811.000000000000000,269570421900.000000000000000,0,442,442,0.116781522906397,1.835864428246345,431836.000000000000000,182,0,91,0,0,2010
8,WY,8,3474816.000000000000000,253314086400.000000000000000,0,299,299,0.018756676612517,0.536144081819293,65176.000000000000000,85,0,67,0,0,2010
9,NV,9,3928389.000000000000000,286379558100.000000000000000,0,592,592,0.027907114086716,1.140812975806766,109630.000000000000000,149,0,90,0,0,2010
10,MT,10,5222748.000000000000000,380738329200.000000000000000,0,434,434,0.054912279895563,1.180914339507400,286793.000000000000000,92,0,1,0,0,2010
11,AZ,11,4049369.000000000000000,295199000100.000000000000000,0,1068,1068,0.115140902199828,1.986861084877908,466248.000000000000000,168,0,107,0,0,2010
