NA_L3CODE,FIRE_COUNT,BURNED_AREA,FIRE_SIZE_MEAN,WF_FSR_MEAN,WF_DURATION_MEAN,STR_THREAT_TOTAL,EVAC_TOTAL,STR_DAMAGE_TOTAL,STR_DESTR_TOTAL,STR_DESTR_RES,FATALITIES_P,FATALITIES_R,NUM_SITREPS_TOTAL,PROJ_IM_COSTS,TOTAL_PERSONNEL,TOTAL_AERIAL,SUP_FS_PERC_MEAN
0.0.0,10,2878,287.8,184.1182383041,10.3,3,0,0,2,0,0,0,25,325000,263,1,30
10.1.2,483,4463930.98,9242.093126293996,5408.865175783928,3.2821052631578946,37330,8823,1664,1925,941,2,0,2183,493086458,355660.70684645,2968.6666667,63.36966404958592
10.1.3,821,9639371.7,11741.013032886724,5780.448727274888,2.0773006134969325,16339,52348,97,308,91,0,0,3946,429885596.16,408877.06746064,5391,49.68850971285506
10.1.4,192,677579.8,3529.061458333333,1930.9174479167032,2.0418848167539267,2714,818,31,110,8,0,0,962,91242575,85795.610715467,1286,46.41540801932292
10.1.5,1450,9010979.73,6214.468779310345,3662.0368818812244,1.800557880055788,46917,20440,563,903,296,1,3,7107,721282769.67,699868.620363524,10172.03333334,47.22820882005517
10.1.6,522,1021367,1956.6417624521073,873.0033282677126,6.592885375494071,10772,689,464,601,134,0,0,3420,357484601.13,248121.59729091,3896.3333333,28.55764789301916
10.1.7,217,561004.6,2585.2746543778803,1063.3572434568432,10.189573459715639,3436,73,61,57,16,0,0,1431,133094197.5,101267.49775466,1267.66666667,26.25849166645161
10.1.8,556,3467764.98,6236.9873741007195,4246.649130711849,1.0090744101633393,6533.5,424,65,176,37,0,1,1678,93541912,86661.23095323,1651.83333333,58.86690647482014
10.2.1,276,1294071.2,4688.663768115942,2916.2412066586053,2.275735294117647,15219,326,38,131,44,0,0,1375,149493571,188097.6865083,2414,33.627214170688404
10.2.2,238,578894.5,2432.3298319327732,1103.5055727208487,1.9106382978723404,21375,2260,71,250,159,0,0,1126,105697133,79138.41190389,1241.5,43.473965000798316
