GACCAbbrev,FIRE_COUNT,BURNED_AREA,FIRE_SIZE_MEAN,WF_FSR_MEAN,WF_DURATION_MEAN,STR_THREAT_TOTAL,EVAC_TOTAL,STR_DAMAGE_TOTAL,STR_DESTR_TOTAL,STR_DESTR_RES,FATALITIES_P,FATALITIES_R,NUM_SITREPS_TOTAL,PROJ_IM_COSTS,TOTAL_PERSONNEL,TOTAL_AERIAL,SUP_FS_PERC_MEAN
AICC,1342,22928955.010000013,17085.65947093883,4055.7578522285544,17.597460791635577,35257,3370,485,645,278,0,0,11267,986438648.2199999,569150.2384199133,8663.333333333334,23.185193759695515
EACC,2737,1275608.0100000005,466.06065400073277,265.125827313252,8.36150409530904,15998,717,568,1834,442,26,0,5165,114817837.78999999,145948.84166666665,3479,54.29215164326621
GBCC,3900,25072086.60999998,6428.740156410248,3298.6297179788094,5.882816605359966,154900.5,82802,1304,2794,811,3,4,24334,3118461015.14,2534165.139636701,37497.25,40.42985249905827
NRCC,2340,9395425.479999993,4015.139094017123,1660.355435108219,15.148278905560272,70347.66666666667,10613,930,2058,582,0,2,20657,2548715192.31,2140887.9158808794,24923.45,32.90037119652816
NWCC,1926,15803750.079999994,8205.477715472489,3552.359929630319,8.483938915218559,456331,128587,6118,7434,3868,13,7,17894,5971838214.41,4156446.728672151,41665.166666666664,52.926421044454464
ONCC,1130,10948689.17,9689.105460176876,3545.9375045077118,4.56807935076647,553352,488148,44059,48573,32120,180,7,14987,8335711009.580001,6867221.709120049,60784.03333333333,45.371877123667815
OSCC,2085,8029572.459999999,3851.1138896882726,1453.8134758338224,4.108252427184499,918962,942000,7782,19004,11971,20,12,17387,6098354237.459999,6301521.473594336,70422.77099567102,40.094178644094846
RMCC,1928,6883553.555000002,3570.3078604771763,1941.0185216427112,4.2528977871443905,207570,44155,2156,5581,3127,2,0,11147,1899736907.47,1129783.0312864375,17175.5,51.86555027114739
SACC,13251,11318622.009999994,854.1711576484479,532.3370904946312,2.2397385223472366,193158.5,58962,8792,16736.333333333336,7770.333333333334,33,2,37859,780693861.15,947827.1256648414,16538.166666666664,60.90330046817475
SWCC,3088,18683860.95,6050.473105569951,2887.9634356166703,5.770935158031904,157591,16965,1428,3532,1957,6,4,17788,2151471591.0299997,1537605.318997226,17017.833333333336,52.85735078852977
