NEON_DOMAIN,FIRE_COUNT,BURNED_AREA,FIRE_SIZE_MEAN,WF_FSR_MEAN,WF_DURATION_MEAN,STR_THREAT_TOTAL,EVAC_TOTAL,STR_DAMAGE_TOTAL,STR_DESTR_TOTAL,STR_DESTR_RES,FATALITIES_P,FATALITIES_R,NUM_SITREPS_TOTAL,PROJ_IM_COSTS,TOTAL_PERSONNEL,TOTAL_AERIAL,SUP_FS_PERC_MEAN
Appalachians / Cumberland Plateau,2399,837882.2699999999,349.2631388078375,167.16191507158115,8.11283557046991,16225,37206,2240,2473,2182,18,0,5130,116250974.86999993,138091.58853334526,1449.5,62.53373169267339
Atlantic Neotropical,481,1705642.8000000003,3546.034927234928,1783.0214969556826,3.7531380753138026,8467,16000,126,192,50,0,0,2322,90956091,46098.50927601809,2112.833333333333,39.84330243635443
Central Plains,766,6283065.899999999,8202.435900783295,5430.978796320166,1.6945169712793757,19479,4221,924,1419,562,6,2,1868,37317667.25,51991.135714285716,689.5,75.86022006713917
Desert Southwest,1501,6470448.699999999,4310.75862758161,1934.535031739888,2.428186109238035,196321,117852,990,3736,2621,2,3,8563,1331009630.82,1458959.0958014466,19017.249999999996,47.55785816846504
Great Basin,4198,31853684.26000001,7587.823787517879,3890.095303584084,3.3826358826358707,212568,93371,3704,6033,2530,6,9,25171,6054187481.879999,4150834.946355427,46662.2,51.82315928719222
Great Lakes,519,354778.82999999996,683.5815606936419,395.50390464645045,4.862823061630222,6181,180,196,953,318,9,0,1316,82151751.37,82917.37499999999,1848,55.05138086062948
Mid Atlantic,1089,624573.2699999994,573.5291735537197,292.8278568527003,3.046904315196979,21246,512,415,1082,420,8,0,3022,142739004.32,173402.3752941503,2702,67.13315086678578
Northeast,477,90926.75000000004,190.6221174004193,91.27198334115633,3.7217391304347776,1483,194,168,262,46,5,0,778,7628107.99,15137.433333333332,208,71.97763801537387
Northern Plains,1484,6340315.985000002,4272.450124663078,2567.656989331737,2.3360433604336026,31506,1551,494,1658,398,0,0,5340,440315774.62999994,419647.70370185334,5247,55.47891094537791
Northern Rockies,2469,11290582.94999996,4572.937606318339,1505.3570520033693,18.49144568006846,100092.16666666666,13504,682,1582,538,0,2,26312,3770764844.82,3021241.0114443763,37824.11666666666,22.24957213568018
Ozarks Complex,5111,2193187.6300000013,429.11125611426183,286.0417307859632,2.0893207695327907,23605,297,3492,4610,436,5,0,10716,53233469.63999999,109590.605952381,1028,60.19052044609642
Pacific Northwest,701,5077615.349999994,7243.388516405131,2113.0359243942185,15.748538011695887,377597,125582,4428,4744,2599,13,3,12288,3958322480.56,3799629.2210998726,39872.76666666667,41.851307621714355
Pacific Southwest,2329,14761236.159999996,6338.014667239256,2369.9320575337765,4.725336810082566,1290743,1306022,50019,63583,41586,195,17,22397,11161059193.22,9621704.982527293,93053.12099567098,41.43339777610262
Prairie Peninsula,330,361515.65,1095.5019696969707,826.7576368321074,4.9662576687116555,2732,231,85,149,39,5,0,443,3299031.0700000003,10745.6,55,68.78787878787871
Southeast,3606,2542164.110000002,704.9817276760898,464.110205024916,2.896319190783903,55636,604,1520,2972.3333333333335,660.3333333333333,5,0,12473,291942289.09999996,324084.11746031756,6340.833333333334,54.848974351897205
Southern Plains,2199,5593109.909999997,2543.4788130968523,1628.3531065734408,0.48998178506377554,76699.5,4770,1159,5868,4113,4,2,7716,95660384,203220.51331168838,3461.5,69.71898587627453
Southern Rockies / Colorado Plateau,2602,10912366.699999977,4193.838086087623,1635.2809974993997,9.551899725812786,284615,50834,2478,6189,3541,2,0,20874,3372624060.7200003,2115172.2530468088,27629.05,33.68083729460677
Taiga,1088,21198454.710000005,19483.873814338247,4604.728010973066,18.52073732718893,34458,3333,481,631,266,0,0,10139,943335153.51,552066.70508658,8244.333333333332,24.05000295782004
Tundra,234,1694498.5000000005,7241.446581196581,1780.2528680660125,12.3034188034188,618,0,1,10,10,0,0,962,29607028.71,11615.666666666664,254.5,17.38392455497719
NA,144,154072.9,1069.950694444445,647.3858324454606,5.486111111111109,3196,55,20,45,11,0,0,655,23834095.08,24406.683333333334,467,47.09201388888888
