STUSPS,FIRE_COUNT,BURNED_AREA,FIRE_SIZE_MEAN,WF_FSR_MEAN,WF_DURATION_MEAN,STR_THREAT_TOTAL,EVAC_TOTAL,STR_DAMAGE_TOTAL,STR_DESTR_TOTAL,STR_DESTR_RES,FATALITIES_P,FATALITIES_R,NUM_SITREPS_TOTAL,PROJ_IM_COSTS,TOTAL_PERSONNEL,TOTAL_AERIAL,SUP_FS_PERC_MEAN
AK,1342,22928955.010000013,17085.65947093883,4055.7578522285544,17.597460791635577,35257,3370,485,645,278,0,0,11267,986438648.2199999,569150.2384199133,8663.333333333334,23.185193759695515
AL,773,210904.56999999998,272.83902975420426,129.47914576791035,6.3671875,2713,20,12,26,3,0,0,1397,8133874.769999999,10222.504761904762,153.5,54.175830099180814
AR,577,198073.3,343.2812824956672,197.46651736683904,2.2824956672443655,1780,0,94,306,70,1,0,1226,4622587.010000001,15024.083333333332,141,69.18833044482975
AZ,1295,6524387.799999999,5038.137297297291,1791.222766354368,8.21417445482865,101898,9711,317,1095,703,0,1,8789,1271954435.16,904741.6751771587,10246.166666666668,37.23430530584218
CA,3268,19064740.080000002,5833.763794369472,2163.791490118535,4.309435133457425,1477524,1431553,51952,67706,44193,201,19,32864,14549450192.04,13228180.635708611,132482.33766233767,42.00516338751125
CO,873,2960640.3500000015,3391.3406071019476,1598.4584175469622,6.2683215130023555,177755,38530,1687,4367,2765,2,0,6865,1411707046.13,732156.5613806131,11693.333333333336,39.47064603295585
CT,6,2475,412.5,252.12361111111113,13.5,5,0,0,0,0,0,0,18,65000,209,0,69.44444444444444
FL,2375,2941006.600000001,1238.3185684210525,649.6480444629356,2.3024850042844753,26052,16387,1381,2397,487,3,0,10508,265235100.41999996,180075.22673633543,5525.833333333333,54.89495649520838
GA,233,721478.4099999999,3096.4738626609455,2601.797390369793,7.830434782608699,32620,263,70,142.33333333333331,48.33333333333333,1,0,1639,129946589.28999999,175084.13438644688,2418.3333333333335,60.040166249182384
IA,3,789,263,172.39814814814815,13,269,28,1,1,0,0,0,6,47000,145,0,33.33333333333333
ID,2259,12651310.279999979,5600.4029570606435,2438.0520261314696,13.126799814212715,77072,55801,400,1069,348,0,1,16659,2039210280.6299999,1580516.3936400728,21630.16666666666,32.53056996265928
IL,15,5290,352.6666666666667,288.5796296296296,4.571428571428572,112,50,0,0,0,0,0,33,312000,595,3,46.666666666666664
IN,16,6917,432.3125,275.86805555555554,3.625,54,0,0,1,0,0,0,41,31500,886,5,37.5
KS,362,699957,1933.5828729281766,1472.125177894161,2.202216066481998,2069,150,170,250,61,0,0,498,6076790,16051.016666666668,50,80.6629834254143
KY,1046,323518,309.290630975143,181.1618513659479,2.761494252873548,1907,0,12,69,20,0,0,1993,6724233.5600000005,35715.76666666667,132,65.60889556587473
LA,228,219223.01999999996,961.5044736842107,594.180072807786,2.5422222222222226,1161,0,15,99,18,0,0,832,8510400.79,13019.166666666668,274,62.485380116958986
MA,14,4175,298.2142857142857,155.35714285714286,2.357142857142857,8,0,0,0,0,0,0,54,269000,1807,30,61.904761904761905
MD,57,36326.5,637.3070175438596,385.150730994152,6.719298245614033,181,0,10,44,6,0,0,115,73489.6,1263,2,17.543859649122805
ME,9,2380,264.44444444444446,210.52962962962962,1.8888888888888888,64,2,0,2,1,0,0,24,350000,586,20,61.111111111111114
MI,107,80808.6,755.2205607476633,401.34802101076684,5.7714285714285705,2463,105,50,362,144,2,0,292,15018665,13109,176,40.186915887850475
MN,581,689868.1,1187.3805507745262,736.9671365488051,1.7363796133567655,4152,75,145,610,139,2,0,1473,79930265.76,84726.87499999994,2817,47.42685025817533
MO,536,171091.56,319.20067164179113,156.0812673463537,4.7598499061913735,1944,112,36,114,13,0,0,1132,4812049,14276.5,88,35.340707178393764
MS,1346,252520.1,187.60780089153,109.14932870032307,3.891369047619054,6396,7,334,757,209,3,0,2377,10661103,19030.299999999996,456,44.597477806987726
MT,1382,7134750.379999994,5162.626903039082,2344.14267584616,9.35419734904272,52671.16666666667,8521,676,1669,465,0,2,12716,1979629961.1100001,1669911.8557501591,19105.95,44.16988029624697
NC,568,415778.31999999995,732.0040845070426,360.5829787803369,2.2985611510791366,12227,2353,121,347,138,2,0,2199,139731040.86,126914.25692467619,2215.5,65.76987598584657
ND,98,253963,2591.459183673467,1577.2349761879823,13.826530612244898,771,360,13,99,26,0,0,279,6310981,11882.213636363636,30,50.42517006802722
NE,49,550660.78,11237.975102040817,6449.5403463203475,2.2448979591836737,1951,0,33,130,37,0,0,179,18432141,20246.26666666667,151,83.26530612244899
