FIRE_YEAR,ICS_COMPLEX_NAME,FIRE_NAME,MEMBER_INC_IDENTIFIER,CPLX_INC_IDENTIFIER,CPLX_INCIDENT_ID,MEMBER_INCIDENT_ID,FOD_JOIN_INCIDENT_ID,,,,,,,,,,,,,,,,
1999,CARMOKE COMPLEX,HIRAM,,,1999_CA-STF-1629_CARMOKE,1999_CA-STF-1629_CARMOKE,1999_CA-STF-1629_CARMOKE,,,,,,,,,,,,,,,,
1999,CARMOKE COMPLEX,DEER,,,1999_CA-STF-1629_CARMOKE,1999_CA-STF-1629_CARMOKE,1999_CA-STF-1629_CARMOKE,,,,,,,,,,,,,,,,
1999,CARMOKE COMPLEX,RUN #2,,,1999_CA-STF-1629_CARMOKE,1999_CA-STF-1629_CARMOKE,1999_CA-STF-1629_CARMOKE,,,,,,,,,,,,,,,,
1999,CARMOKE COMPLEX,DOUGLAS,,,1999_CA-STF-1629_CARMOKE,1999_CA-STF-1629_CARMOKE,1999_CA-STF-1629_CARMOKE,,,,,,,,,,,,,,,,
1999,CARMOKE COMPLEX,ARNOT,,,1999_CA-STF-1629_CARMOKE,1999_CA-STF-1629_CARMOKE,1999_CA-STF-1629_CARMOKE,,,,,,,,,,,,,,,,
1999,FLOYD'S COMPLEX,RAMEY,,,1999_ID-PAF-_FLOYD'S COMPLEX,1999_ID-PAF-_FLOYD'S COMPLEX,1999_ID-PAF-_FLOYD'S COMPLEX,,,,,,,,,,,,,,,,
1999,FLOYD'S COMPLEX,COPPER CAMP,,,1999_ID-PAF-_FLOYD'S COMPLEX,1999_ID-PAF-_FLOYD'S COMPLEX,1999_ID-PAF-_FLOYD'S COMPLEX,,,,,,,,,,,,,,,,
1999,FLOYD'S COMPLEX,LODGEPOLE,,,1999_ID-PAF-_FLOYD'S COMPLEX,1999_ID-PAF-_FLOYD'S COMPLEX,1999_ID-PAF-_FLOYD'S COMPLEX,,,,,,,,,,,,,,,,
1999,FLOYD'S COMPLEX,BIG RAMEY,,,1999_ID-PAF-_FLOYD'S COMPLEX,1999_ID-PAF-_FLOYD'S COMPLEX,1999_ID-PAF-_FLOYD'S COMPLEX,,,,,,,,,,,,,,,,
1999,FLOYD'S COMPLEX,LITTLE RAMEY,,,1999_ID-PAF-_FLOYD'S COMPLEX,1999_ID-PAF-_FLOYD'S COMPLEX,1999_ID-PAF-_FLOYD'S COMPLEX,,,,,,,,,,,,,,,,
1999,YELLOW PINE COMPLEX,PINE,,,1999_CA-MDF-683_YELLOW PINE COMPLEX,1999_CA-MDF-683_YELLOW PINE COMPLEX,1999_CA-MDF-683_YELLOW PINE COMPLEX,,,,,,,,,,,,,,,,
1999,YELLOW PINE COMPLEX,YELLOW,,,1999_CA-MDF-683_YELLOW PINE COMPLEX,1999_CA-MDF-683_YELLOW PINE COMPLEX,1999_CA-MDF-683_YELLOW PINE COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,BO PARKER,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,ROBINSON BOTTOM,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,TUCKER#1,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,TUCKER#2,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,FORSYTH,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,PINHOOK,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,MILL CREEK 1,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,FERRY COMPLEX,FERRY 6,,,1999_FL-FNF-99004_FERRY COMPLEX,1999_FL-FNF-99004_FERRY COMPLEX,1999_FL-FNF-99004_FERRY COMPLEX,,,,,,,,,,,,,,,,
1999,APALACHICOLA COMPLEX,COW HOUSE,,,1999_FL-FNF-99012_APALACHICOLA COMPLEX,1999_FL-FNF-99012_APALACHICOLA COMPLEX,1999_FL-FNF-99012_APALACHICOLA COMPLEX,,,,,,,,,,,,,,,,
1999,BAY CREEK COMPLEX,BAY CREEK COMPLEX,,,1999_FL-FNF-99031_BAY CREEK COMPLEX,1999_FL-FNF-99031_BAY CREEK COMPLEX,1999_FL-FNF-99031_BAY CREEK COMPLEX,,,,,,,,,,,,,,,,
