FIRE_YEAR,ICS_COMPLEX_NAME,FIRE_NAME,MEMBER_INC_IDENTIFIER,CPLX_INC_IDENTIFIER,CPLX_INCIDENT_ID,MEMBER_INCIDENT_ID,,,,
2014,123 COMPLEX,123 COMPLEX,256722,256722,2014_256722_123 COMPLEX,2014_256722_123 COMPLEX,,,,
2014,APACHE COMPLEX,APACHE COMPLEX,943387,943387,2014_943387_APACHE COMPLEX,2014_943387_APACHE COMPLEX,,,,
2014,BASILONE COMPLEX,TOMAHAWK,400503,407445,2014_407445_BASILONE COMPLEX,2014_400503_TOMAHAWK,,,,
2014,BASILONE COMPLEX,COMBAT,405755,407445,2014_407445_BASILONE COMPLEX,2014_405755_COMBAT,,,,
2014,BASILONE COMPLEX,PULGAS,405786,407445,2014_407445_BASILONE COMPLEX,2014_405786_PULGAS,,,,
2014,BASILONE COMPLEX,BASILONE COMPLEX,407445,407445,2014_407445_BASILONE COMPLEX,2014_407445_BASILONE COMPLEX,,,,
2014,BEAVER COMPLEX,BEAVER,732202,738768,2014_738768_BEAVER COMPLEX,2014_732202_BEAVER,,,,
2014,BEAVER COMPLEX,OREGON GULCH,743008,738768,2014_738768_BEAVER COMPLEX,2014_743008_OREGON GULCH,,,,
2014,BEAVER COMPLEX,BEAVER COMPLEX,738768,738768,2014_738768_BEAVER COMPLEX,2014_738768_BEAVER COMPLEX,,,,
2014,BONE MOUNTAIN COMPLEX,BONE MOUNTAIN COMPLEX,259765,259765,2014_259765_BONE MOUNTAIN COMPLEX,2014_259765_BONE MOUNTAIN COMPLEX,,,,
2014,BRIDGE 99 COMPLEX,BRIDGE 99 COMPLEX,639070,639070,2014_639070_BRIDGE 99 COMPLEX,2014_639070_BRIDGE 99 COMPLEX,,,,
2014,BUZZARD COMPLEX,BEAVER CREEK,634216,634805,2014_634805_BUZZARD COMPLEX,2014_634216_BEAVER CREEK,,,,
2014,BUZZARD COMPLEX,BARTLETT,634217,634805,2014_634805_BUZZARD COMPLEX,2014_634217_BARTLETT,,,,
