...1,INCIDENT_ID,INCIDENT_NUMBER,INCIDENT_NAME,INCTYP_ABBREVIATION,FINAL_ACRES,CAUSE,COMPLEX,DISCOVERY_DATE,DISCOVERY_DOY,EXPECTED_CONTAINMENT_DATE,FATALITIES,FUEL_MODEL,INCIDENT_DESCRIPTION,INC_IDENTIFIER,INJURIES_TOTAL,LL_CONFIDENCE,LL_UPDATE,LOCAL_TIMEZONE,POO_CITY,POO_COUNTY,POO_LATITUDE,POO_LONGITUDE,POO_SHORT_LOCATION_DESC,POO_STATE,PROJECTED_FINAL_IM_COST,START_YEAR,SUPPRESSION_METHOD,STR_DAMAGED_TOTAL,STR_DAMAGED_COMM_TOTAL,STR_DAMAGED_RES_TOTAL,STR_DESTROYED_TOTAL,STR_DESTROYED_COMM_TOTAL,STR_DESTROYED_RES_TOTAL,FATALITIES_RESPONDER,FATALITIES_PUBLIC,FINAL_REPORT_DATE,INCIDENT_ID_OLD,INC_MGMT_NUM_SITREPS,PEAK_EVACUATIONS,STR_THREATENED_MAX,STR_THREATENED_COMM_MAX,STR_THREATENED_RES_MAX,TOTAL_AERIAL_SUM,TOTAL_PERSONNEL_SUM,WF_PEAK_AERIAL,WF_PEAK_AERIAL_DATE,WF_PEAK_AERIAL_DOY,WF_PEAK_PERSONNEL,WF_PEAK_PERSONNEL_DATE,WF_PEAK_PERSONNEL_DOY,WF_CESSATION_DATE,WF_CESSATION_DOY,WF_MAX_FSR,WF_MAX_GROWTH_DATE,WF_MAX_GROWTH_DOY,WF_GROWTH_DURATION,SUP_SERIES,SUP_METHOD_INITIAL,SUP_METHOD_FINAL,SUP_PERCENT_FS,FOD_ID_LIST,FOD_FIRE_NUM,MTBS_FIRE_LIST,FOD_DISCOVERY_DOY,FOD_CONTAIN_DOY,FOD_CAUSE,FOD_FINAL_ACRES,FOD_FIRE_LIST,FOD_COORD_LIST,FOD_CAUSE_NUM,FOD_COORD_NUM,MTBS_FIRE_NUM,LRGST_FOD_ID,LRGST_FOD_LATITUDE,LRGST_FOD_LONGITUDE,LRGST_MTBS_FIRE_INFO,LRGST_FOD_COORDS
10,1999_AL-ALF-99013_BANKHEAD COMPLEX,AL-ALF-99013,BANKHEAD COMPLEX,WF,361,H,TRUE,1999-09-06T00:00:00Z,249,09-20-99,0,NA,NA,NA,0,NA,NA,NA,NA,NA,34.06666666666667,-87.33333333333331,Black Pond Community,AL,340000,1999,NA,0,0,0,0,0,0,NA,NA,1999-09-16T00:00:00Z,NA,11,NA,19,NA,17,22,705,2,1999-09-06T00:00:00Z,249,75,1999-09-11T00:00:00Z,254,1999-09-16T00:00:00Z,259,271,1999-09-06T00:00:00Z,249,10,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",NA,NA,0,"[116781, 116823, 116824, 116825, 116826, 116827, 116828, 117903, 117904, 117905, 117906, 117907, 117908, 117909, 117910, 117911, 117917, 117930, 117931, 117932, 117933, 117934, 117935]",23,NA,247,265,"['Recreation and ceremony' 'Arson/incendiarism' 'Debris and open burning'
 'Natural']",356.5,"[{'ID': 116781, 'COORDS': (32.90083333, -87.1225), 'CAUSE': 'Recreation and ceremony', 'SIZE': 17.7, 'DISC': 254, 'CONT': 254.0}, {'ID': 116823, 'COORDS': (34.36666667, -87.16666667), 'CAUSE': 'Arson/incendiarism', 'SIZE': 3.0, 'DISC': 247, 'CONT': 247.0}, {'ID': 116824, 'COORDS': (33.99055556, -87.28333333), 'CAUSE': 'Arson/incendiarism', 'SIZE': 5.0, 'DISC': 247, 'CONT': 261.0}, {'ID': 116825, 'COORDS': (33.98916667, -87.28333333), 'CAUSE': 'Arson/incendiarism', 'SIZE': 80.0, 'DISC': 247, 'CONT': 261.0}, {'ID': 116826, 'COORDS': (34.06666667, -87.18944444), 'CAUSE': 'Arson/incendiarism', 'SIZE': 180.0, 'DISC': 247, 'CONT': 247.0}, {'ID': 116827, 'COORDS': (34.33333333, -87.25972222), 'CAUSE': 'Debris and open burning', 'SIZE': 3.0, 'DISC': 248, 'CONT': 254.0}, {'ID': 116828, 'COORDS': (34.26666667, -87.10666667), 'CAUSE': 'Arson/incendiarism', 'SIZE': 3.0, 'DISC': 249, 'CONT': 257.0}, {'ID': 117903, 'COORDS': (34.26666667, -87.1075), 'CAUSE': 'Arson/incendiarism', 'SIZE': 0.2, 'DISC': 249, 'CONT': 257.0}, {'ID': 117904, 'COORDS': (34.28333333, -87.10694444), 'CAUSE': 'Arson/incendiarism', 'SIZE': 1.0, 'DISC': 250, 'CONT': 265.0}, {'ID': 117905, 'COORDS': (34.28333333, -87.10638889), 'CAUSE': 'Arson/incendiarism', 'SIZE': 2.0, 'DISC': 250, 'CONT': 265.0}, {'ID': 117906, 'COORDS': (34.28333333, -87.09527778), 'CAUSE': 'Arson/incendiarism', 'SIZE': 1.0, 'DISC': 250, 'CONT': 265.0}, {'ID': 117907, 'COORDS': (34.28333333, -87.09388889), 'CAUSE': 'Arson/incendiarism', 'SIZE': 1.0, 'DISC': 250, 'CONT': 265.0}, {'ID': 117908, 'COORDS': (34.28333333, -87.25), 'CAUSE': 'Arson/incendiarism', 'SIZE': 40.0, 'DISC': 250, 'CONT': 265.0}, {'ID': 117909, 'COORDS': (34.28333333, -87.10638889), 'CAUSE': 'Arson/incendiarism', 'SIZE': 1.0, 'DISC': 250, 'CONT': 265.0}, {'ID': 117910, 'COORDS': (33.98472222, -87.28333333), 'CAUSE': 'Arson/incendiarism', 'SIZE': 0.1, 'DISC': 251, 'CONT': 255.0}, {'ID': 117911, 'COORDS': (34.24722222, -87.10083333), 'CAUSE': 'Arson/incendiarism', 'SIZE': 0.5, 'DISC': 253, 'CONT': 255.0}, {'ID': 117917, 'COORDS': (34.26666667, -87.10805556), 'CAUSE': 'Arson/incendiarism', 'SIZE': 0.2, 'DISC': 249, 'CONT': 257.0}, {'ID': 117930, 'COORDS': (33.92833333, -85.47805556), 'CAUSE': 'Arson/incendiarism', 'SIZE': 3.0, 'DISC': 251, 'CONT': 257.0}, {'ID': 117931, 'COORDS': (33.925, -85.51666667), 'CAUSE': 'Arson/incendiarism', 'SIZE': 0.5, 'DISC': 251, 'CONT': 257.0}, {'ID': 117932, 'COORDS': (33.92166667, -85.49166667), 'CAUSE': 'Arson/incendiarism', 'SIZE': 0.3, 'DISC': 251, 'CONT': 257.0}, {'ID': 117933, 'COORDS': (33.92, -85.49333333), 'CAUSE': 'Arson/incendiarism', 'SIZE': 3.5, 'DISC': 251, 'CONT': 257.0}, {'ID': 117934, 'COORDS': (33.91333333, -85.495), 'CAUSE': 'Arson/incendiarism', 'SIZE': 0.5, 'DISC': 251, 'CONT': 257.0}, {'ID': 117935, 'COORDS': (33.49333333, -85.7875), 'CAUSE': 'Natural', 'SIZE': 10.0, 'DISC': 256, 'CONT': 263.0}]","[(32.90083333, -87.1225) (34.36666667, -87.16666667)
 (33.99055556, -87.28333333) (33.98916667, -87.28333333)
 (34.06666667, -87.18944444) (34.33333333, -87.25972222)
 (34.26666667, -87.10666667) (34.26666667, -87.1075)
 (34.28333333, -87.10694444) (34.28333333, -87.10638889)
 (34.28333333, -87.09527778) (34.28333333, -87.09388889)
 (34.28333333, -87.25) (33.98472222, -87.28333333)
 (34.24722222, -87.10083333) (34.26666667, -87.10805556)
 (33.92833333, -85.47805556) (33.925, -85.51666667)
 (33.92166667, -85.49166667) (33.92, -85.49333333) (33.91333333, -85.495)
 (33.49333333, -85.7875)]",4,22,0,116826,34.06666667,-87.18944444,NA,"(34.06666667, -87.18944444)"
13,1999_AR-ARS-99002_JERUSALEM COMPLEX,AR-ARS-99002,JERUSALEM COMPLEX,WF,100,H,TRUE,1999-09-24T00:00:00Z,267,9/24/99,0,NA,NA,NA,0,H,TRUE,NA,NA,NA,36.1958,-36.1958,"5 mi. South of Jerusalem, Arkansas",AR,NA,1999,NA,0,0,0,0,0,0,NA,NA,1999-09-25T00:00:00Z,NA,2,NA,NA,NA,NA,NA,NA,NA,1999-09-24T00:00:00Z,267,NA,1999-09-24T00:00:00Z,267,1999-09-24T00:00:00Z,267,100,1999-09-24T00:00:00Z,267,0,"[nan, nan]",NA,NA,0,[983355],1,NA,267,NA,['Debris and open burning'],100,"[{'ID': 983355, 'COORDS': (36.1958, -90.6069), 'CAUSE': 'Debris and open burning', 'SIZE': 100.0, 'DISC': 267, 'CONT': 'unknown'}]","[(36.1958, -90.6069)]",1,1,0,983355,36.1958,-90.6069,NA,"(36.1958, -90.6069)"
14,1999_AR-BUP-99025_BUFFALO RIVER COMPLEX,AR-BUP-99025,BUFFALO RIVER COMPLEX,WF,1767,H,TRUE,1999-11-17T00:00:00Z,321,11/19/99,0,NA,NA,NA,0,NA,NA,NA,NA,NA,35.916666666666664,-92.91666666666669,"25 miles southeast of Harrison, Arkansas",AR,NA,1999,NA,0,0,0,0,0,0,NA,NA,1999-11-24T00:00:00Z,NA,6,NA,3,NA,3,1,745,1,1999-11-18T00:00:00Z,322,144,1999-11-19T00:00:00Z,323,1999-11-18T00:00:00Z,322,1500,1999-11-17T00:00:00Z,321,1,"[nan, nan, nan, nan, nan, nan]",NA,NA,0,"[245755, 245756, 245757, 245758, 245759, 245760, 245761]",7,['AR3596409287319991117-ROBERTSON' 'AR3592709286519991117-PT PETER'],319,327,['Arson/incendiarism'],1761.7999999999995,"[{'ID': 245755, 'COORDS': (35.9147, -92.86316), 'CAUSE': 'Arson/incendiarism', 'SIZE': 98.0, 'DISC': 319, 'CONT': 320.0}, {'ID': 245756, 'MTBS_ID': 'AR3596409287319991117(ROBERTSON)', 'COORDS': (35.96849, -92.87491), 'CAUSE': 'Arson/incendiarism', 'SIZE': 1063.0, 'DISC': 321, 'CONT': 327.0}, {'ID': 245757, 'COORDS': (35.96674, -92.91129000000001), 'CAUSE': 'Arson/incendiarism', 'SIZE': 0.5, 'DISC': 321, 'CONT': 321.0}, {'ID': 245758, 'COORDS': (35.92542, -92.88806), 'CAUSE': 'Arson/incendiarism', 'SIZE': 0.1, 'DISC': 321, 'CONT': 322.0}, {'ID': 245759, 'COORDS': (35.925090000000004, -92.87915), 'CAUSE': 'Arson/incendiarism', 'SIZE': 0.1, 'DISC': 321, 'CONT': 321.0}, {'ID': 245760, 'COORDS': (35.927279999999996, -92.87371), 'CAUSE': 'Arson/incendiarism', 'SIZE': 0.1, 'DISC': 321, 'CONT': 321.0}, {'ID': 245761, 'MTBS_ID': 'AR3592709286519991117(PT PETER)', 'COORDS': (35.92881, -92.8661), 'CAUSE': 'Arson/incendiarism', 'SIZE': 600.0, 'DISC': 321, 'CONT': 327.0}]","[(35.9147, -92.86316) (35.96849, -92.87491) (35.96674, -92.91129000000001)
 (35.92542, -92.88806) (35.925090000000004, -92.87915)
 (35.927279999999996, -92.87371) (35.92881, -92.8661)]",1,7,2,245756,35.96849,-92.87491,AR3596409287319991117(ROBERTSON),"(35.96849, -92.87491)"
16,1999_AZ-ASD-C142_JUMP COMPLEX,AZ-ASD-C142,JUMP COMPLEX,WF,17000,L,TRUE,1999-05-28T00:00:00Z,148,06/01/99,0,NA,NA,NA,0,NA,NA,NA,NA,NA,36.583333333333336,-113.73333333333332,"30 MILES SSW FROM ST. GEORGE, UTAH",AZ,500000,1999,NA,0,0,0,0,0,0,NA,NA,1999-06-04T00:00:00Z,NA,6,NA,5,NA,4,9,1066,3,1999-05-31T00:00:00Z,151,311,1999-06-01T00:00:00Z,152,1999-06-01T00:00:00Z,152,8800,1999-05-30T00:00:00Z,150,4,"[nan, nan, nan, nan, nan, nan]",NA,NA,0,"[215365, 215366, 215369]",3,['AZ3662411371319990528-JUMPSPRING'],148,154,['Natural'],16892,"[{'ID': 215365, 'MTBS_ID': 'AZ3662411371319990528(JUMPSPRING)', 'COORDS': (36.5928, -113.7352), 'CAUSE': 'Natural', 'SIZE': 16816.0, 'DISC': 148, 'CONT': 154.0}, {'ID': 215366, 'COORDS': (36.6216, -113.7172), 'CAUSE': 'Natural', 'SIZE': 7.0, 'DISC': 148, 'CONT': 154.0}, {'ID': 215369, 'COORDS': (36.96, -113.8158), 'CAUSE': 'Natural', 'SIZE': 69.0, 'DISC': 149, 'CONT': 150.0}]","[(36.5928, -113.7352) (36.6216, -113.7172) (36.96, -113.8158)]",1,3,1,215365,36.5928,-113.7352,AZ3662411371319990528(JUMPSPRING),"(36.5928, -113.7352)"
18,1999_AZ-ASF-163_BROKEN COMPLEX,AZ-ASF-163,BROKEN COMPLEX,WF,150,H,TRUE,1999-11-15T00:00:00Z,319,11-16-99,0,NA,NA,NA,0,NA,NA,NA,NA,NA,34.416666666666664,-110.68333333333334,8 Miles wnw of Heber AZ,AZ,NA,1999,NA,0,0,0,0,0,0,NA,NA,1999-11-28T00:00:00Z,NA,2,NA,NA,NA,NA,2,110,1,1999-11-15T00:00:00Z,319,55,1999-11-15T00:00:00Z,319,1999-11-15T00:00:00Z,319,150,1999-11-15T00:00:00Z,319,0,"[nan, nan]",NA,NA,0,[124730],1,NA,319,322,['Arson/incendiarism'],165,"[{'ID': 124730, 'COORDS': (34.42472222, -110.67277779999999), 'CAUSE': 'Arson/incendiarism', 'SIZE': 165.0, 'DISC': 319, 'CONT': 322.0}]","[(34.42472222, -110.67277779999999)]",1,1,0,124730,34.42472222,-110.6727778,NA,"(34.42472222, -110.67277779999999)"
39,1999_AZ-GCP-093_BOUNDARY-NORTH RIM COMPLEX 99,AZ-GCP-093,BOUNDARY-NORTH RIM COMPLEX 99,WFU,1493,L,TRUE,1999-09-20T00:00:00Z,263,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,36.35,-112.23333333333332,NA,AZ,65000,1999,NA,0,0,0,0,0,0,NA,NA,1999-11-05T00:00:00Z,NA,26,NA,NA,NA,NA,3,303,1,1999-10-01T00:00:00Z,274,31,1999-10-01T00:00:00Z,274,1999-10-29T00:00:00Z,302,155,1999-10-16T00:00:00Z,289,39,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",NA,NA,0,"[243453, 243454, 243456]",3,['AZ3631311225219990921-CAMELOT'],248,NA,['Natural'],1703,"[{'ID': 243453, 'COORDS': (36.21875, -112.11583), 'CAUSE': 'Natural', 'SIZE': 81.0, 'DISC': 248, 'CONT': 'unknown'}, {'ID': 243454, 'COORDS': (36.35152, -112.34693999999999), 'CAUSE': 'Natural', 'SIZE': 358.0, 'DISC': 263, 'CONT': 'unknown'}, {'ID': 243456, 'MTBS_ID': 'AZ3631311225219990921(CAMELOT)', 'COORDS': (36.30693, -112.25101000000001), 'CAUSE': 'Natural', 'SIZE': 1264.0, 'DISC': 264, 'CONT': 'unknown'}]","[(36.21875, -112.11583) (36.35152, -112.34693999999999)
 (36.30693, -112.25101000000001)]",1,3,1,243456,36.30693,-112.25101,AZ3631311225219990921(CAMELOT),"(36.30693, -112.25101000000001)"
77,1999_CA-JTP-99-3739_JUNIPER COMPLEX,CA-JTP-99-3739,JUNIPER COMPLEX,WF,13900,L,TRUE,1999-05-27T00:00:00Z,147,5/31/99,0,NA,NA,NA,0,NA,NA,NA,NA,NA,34.06666666666667,-116.36666666666666,2 MILES EAST OF DESERT HOT SPRINGS,CA,1358844,1999,NA,0,0,0,1,0,0,NA,NA,1999-06-03T00:00:00Z,NA,6,NA,1,NA,1,18,2637,5,1999-05-30T00:00:00Z,150,740,1999-05-30T00:00:00Z,150,1999-05-31T00:00:00Z,151,8700,1999-05-30T00:00:00Z,150,4,"[nan, nan, nan, nan, nan, nan]",NA,NA,0,"[247711, 247713, 247714]",3,['CA3401011623119990527-JUNIPER COMPLEX (FIRE #3)'],147,154,['Natural'],14005.2,"[{'ID': 247711, 'COORDS': (34.041709999999995, -116.22255), 'CAUSE': 'Natural', 'SIZE': 0.2, 'DISC': 147, 'CONT': 148.0}, {'ID': 247713, 'MTBS_ID': 'CA3401011623119990527(JUNIPER COMPLEX (FIRE #3))', 'COORDS': (34.00251, -116.29583999999998), 'CAUSE': 'Natural', 'SIZE': 14000.0, 'DISC': 147, 'CONT': 154.0}, {'ID': 247714, 'COORDS': (34.00251, -116.29583999999998), 'CAUSE': 'Natural', 'SIZE': 5.0, 'DISC': 147, 'CONT': 154.0}]","[(34.041709999999995, -116.22255) (34.00251, -116.29583999999998)]",1,2,1,247713,34.00251,-116.29583999999998,CA3401011623119990527(JUNIPER COMPLEX (FIRE #3)),"(34.00251, -116.29583999999998)"
87,1999_CA-LPF-865_KIRK COMPLEX,CA-LPF-865,KIRK COMPLEX,WF,86700,L,TRUE,1999-09-08T00:00:00Z,251,NA,0,NA,NA,NA,0,N,TRUE,NA,NA,NA,NA,NA,Carmel       Big Sur       King City,CA,72280904,1999,NA,0,0,0,0,0,0,NA,NA,2000-01-06T00:00:00Z,NA,38,NA,1200,NA,1200,556,49198,30,1999-10-07T00:00:00Z,280,3299,1999-10-06T00:00:00Z,279,1999-10-06T00:00:00Z,279,4435,1999-10-05T00:00:00Z,278,28,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",NA,NA,0,"[119524, 119526, 119530, 119531, 119532, 119533, 119534, 119535, 119536, 119537, 119538]",11,"['CA3627912162519990909-KIRK COMPLEX (FIVE)'
 'CA3605412146419990913-KIRK COMPLEX (HARE)']",251,323,['Natural'],86617.60000000002,"[{'ID': 119524, 'COORDS': (36.20111111, -121.7), 'CAUSE': 'Natural', 'SIZE': 0.1, 'DISC': 251, 'CONT': 252.0}, {'ID': 119526, 'MTBS_ID': 'CA3627912162519990909(KIRK COMPLEX (FIVE))', 'COORDS': (36.26833333, -121.6172222), 'CAUSE': 'Natural', 'SIZE': 23761.0, 'DISC': 251, 'CONT': 323.0}, {'ID': 119530, 'COORDS': (36.3175, -121.71694440000002), 'CAUSE': 'Natural', 'SIZE': 0.1, 'DISC': 251, 'CONT': 253.0}, {'ID': 119531, 'COORDS': (36.00138889, -121.4838889), 'CAUSE': 'Natural', 'SIZE': 344.0, 'DISC': 251, 'CONT': 254.0}, {'ID': 119532, 'MTBS_ID': 'CA3605412146419990913(KIRK COMPLEX (HARE))', 'COORDS': (36.01694444, -121.50055559999998), 'CAUSE': 'Natural', 'SIZE': 49551.0, 'DISC': 256, 'CONT': 284.0}, {'ID': 119533, 'COORDS': (36.15166667, -121.61694440000001), 'CAUSE': 'Natural', 'SIZE': 0.1, 'DISC': 251, 'CONT': 252.0}, {'ID': 119534, 'COORDS': (36.21777778, -121.7336111), 'CAUSE': 'Natural', 'SIZE': 0.1, 'DISC': 251, 'CONT': 252.0}, {'ID': 119535, 'MTBS_ID': 'CA3627912162519990909(KIRK COMPLEX (FIVE))', 'COORDS': (36.21805556, -121.6344444), 'CAUSE': 'Natural', 'SIZE': 12960.0, 'DISC': 252, 'CONT': 283.0}, {'ID': 119536, 'COORDS': (36.33388889, -121.66805559999999), 'CAUSE': 'Natural', 'SIZE': 0.1, 'DISC': 251, 'CONT': 253.0}, {'ID': 119537, 'COORDS': (36.05138889, -121.5672222), 'CAUSE': 'Natural', 'SIZE': 0.1, 'DISC': 251, 'CONT': 252.0}, {'ID': 119538, 'COORDS': (36.36694444, -121.7338889), 'CAUSE': 'Natural', 'SIZE': 1.0, 'DISC': 251, 'CONT': 253.0}]","[(36.20111111, -121.7) (36.26833333, -121.6172222)
 (36.3175, -121.71694440000002) (36.00138889, -121.4838889)
 (36.01694444, -121.50055559999998) (36.15166667, -121.61694440000001)
 (36.21777778, -121.7336111) (36.21805556, -121.6344444)
 (36.33388889, -121.66805559999999) (36.05138889, -121.5672222)
 (36.36694444, -121.7338889)]",1,11,2,119532,36.01694444,-121.50055559999998,CA3605412146419990913(KIRK COMPLEX (HARE)),"(36.01694444, -121.50055559999998)"
91,1999_CA-MDF-683_YELLOW PINE COMPLEX,CA-MDF-683,YELLOW PINE COMPLEX,WF,35238,L,TRUE,1999-08-23T00:00:00Z,235,NA,0,NA,NA,NA,0,L,TRUE,NA,NA,NA,41.647919,-121.490315,20 miles south of Tulelake CA,CA,1665183,1999,NA,0,0,0,0,0,0,NA,NA,1999-09-02T00:00:00Z,NA,12,NA,NA,NA,NA,18,3010,2,1999-08-25T00:00:00Z,237,455,1999-08-28T00:00:00Z,240,1999-08-30T00:00:00Z,242,7500,1999-08-30T00:00:00Z,242,7,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",NA,NA,0,"[116604, 116688]",2,"['CA4176612101619990822-PINE'
 'CA4177812162219990823-YELLOW PINE COMPLEX (YELLOW)']",234,244,['Natural'],35237,"[{'ID': 116604, 'MTBS_ID': 'CA4176612101619990822(PINE)', 'COORDS': (41.70972222, -121.07333329999999), 'CAUSE': 'Natural', 'SIZE': 30568.0, 'DISC': 234, 'CONT': 244.0}, {'ID': 116688, 'MTBS_ID': 'CA4177812162219990823(YELLOW PINE COMPLEX (YELLOW))', 'COORDS': (41.75305556, -121.6325), 'CAUSE': 'Natural', 'SIZE': 4669.0, 'DISC': 235, 'CONT': 242.0}]","[(41.70972222, -121.07333329999999) (41.75305556, -121.6325)]",1,2,2,116604,41.70972222,-121.0733333,CA4176612101619990822(PINE),"(41.70972222, -121.07333329999999)"
97,1999_CA-NOD-2298_BUCKHORN COMPLEX,CA-NOD-2298,BUCKHORN COMPLEX,WF,5300,L,TRUE,1999-08-04T00:00:00Z,216,8/7,0,NA,NA,NA,0,NA,NA,NA,NA,NA,40.8,-120.08333333333331,"12 miles east of Ravendale, CA",CA,1502446,1999,NA,0,0,0,0,0,0,NA,NA,1999-08-09T00:00:00Z,NA,4,NA,15,NA,10,11,2047,5,1999-08-05T00:00:00Z,217,747,1999-08-05T00:00:00Z,217,1999-08-05T00:00:00Z,217,5300,1999-08-05T00:00:00Z,217,1,"[nan, nan, nan, nan]",NA,NA,0,"[221829, 221832, 221834, 221835, 221838]",5,['CA4080012010119990804-RAVE'],216,220,['Natural'],5268,"[{'ID': 221829, 'COORDS': (40.7799, -120.12106000000001), 'CAUSE': 'Natural', 'SIZE': 270.0, 'DISC': 216, 'CONT': 220.0}, {'ID': 221832, 'MTBS_ID': 'CA4080012010119990804(RAVE)', 'COORDS': (40.7799, -120.06438), 'CAUSE': 'Natural', 'SIZE': 4820.0, 'DISC': 216, 'CONT': 216.0}, {'ID': 221834, 'COORDS': (40.7799, -120.19606), 'CAUSE': 'Natural', 'SIZE': 1.0, 'DISC': 216, 'CONT': 220.0}, {'ID': 221835, 'COORDS': (40.86656, -120.00771), 'CAUSE': 'Natural', 'SIZE': 7.0, 'DISC': 216, 'CONT': 220.0}, {'ID': 221838, 'COORDS': (40.853229999999996, -120.12106000000001), 'CAUSE': 'Natural', 'SIZE': 170.0, 'DISC': 216, 'CONT': 220.0}]","[(40.7799, -120.12106000000001) (40.7799, -120.06438)
 (40.7799, -120.19606) (40.86656, -120.00771)
 (40.853229999999996, -120.12106000000001)]",1,5,1,221832,40.7799,-120.06438,CA4080012010119990804(RAVE),"(40.7799, -120.06438)"
