,CPLX_INCIDENT_ID,NUM_FOD_RECORDS,FIRE_YEAR,INCIDENT_NUMBER,COMPLEX_NAME,ICS_COMPLEX_NAME_LINK,FIRE_NAME_LINK,MEMBER_INC_IDENTIFIER,CPLX_INC_IDENTIFIER,MEMBER_INCIDENT_ID,INCIDENT_ID
0,2014_256722_123 COMPLEX,,2014,,,123 COMPLEX,123 COMPLEX,256722.0,256722.0,2014_256722_123 COMPLEX,2014_256722_123 COMPLEX
9,2014_259765_BONE MOUNTAIN COMPLEX,,2014,,,BONE MOUNTAIN COMPLEX,BONE MOUNTAIN COMPLEX,259765.0,259765.0,2014_259765_BONE MOUNTAIN COMPLEX,2014_259765_BONE MOUNTAIN COMPLEX
38,2014_304335_GRAVEL STAND COMPLEX,,2014,,,GRAVEL STAND COMPLEX,GRAVEL STAND COMPLEX,304335.0,304335.0,2014_304335_GRAVEL STAND COMPLEX,2014_304335_GRAVEL STAND COMPLEX
2,2014_407445_BASILONE COMPLEX,,2014,,,BASILONE COMPLEX,TOMAHAWK,400503.0,407445.0,2014_400503_TOMAHAWK,2014_400503_TOMAHAWK
107,2014_402977_SAN DIEGO COMPLEX,,2014,,,SAN DIEGO COMPLEX,SAN DIEGO COMPLEX,402977.0,402977.0,2014_402977_SAN DIEGO COMPLEX,2014_402977_SAN DIEGO COMPLEX
108,2014_402977_SAN DIEGO COMPLEX,,2014,,,SAN DIEGO COMPLEX,COCOS,403676.0,402977.0,2014_403676_COCOS,2014_403676_COCOS
109,2014_402977_SAN DIEGO COMPLEX,,2014,,,SAN DIEGO COMPLEX,HIGHWAY,403706.0,402977.0,2014_403706_HIGHWAY,2014_403706_HIGHWAY
3,2014_407445_BASILONE COMPLEX,,2014,,,BASILONE COMPLEX,COMBAT,405755.0,407445.0,2014_405755_COMBAT,2014_405755_COMBAT
4,2014_407445_BASILONE COMPLEX,,2014,,,BASILONE COMPLEX,PULGAS,405786.0,407445.0,2014_405786_PULGAS,2014_405786_PULGAS
5,2014_407445_BASILONE COMPLEX,,2014,,,BASILONE COMPLEX,BASILONE COMPLEX,407445.0,407445.0,2014_407445_BASILONE COMPLEX,2014_407445_BASILONE COMPLEX
